 ---------------------------------------------------------------------------------------------------------------------------------- 
                                          loging report for : 12/08/2008   12:06:44
 ---------------------------------------------------------------------------------------------------------------------------------- 

12:06:44  |  General  |  Info  |  Register value : 'Icon2' = 131072  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_messagefactory.cpp  |  182
12:06:44  |  General  |  Info  |  Register value : 'Icon3' = 262144  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_messagefactory.cpp  |  183
12:06:44  |  General  |  Info  |  Register value : 'Icon4' = 524288  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_messagefactory.cpp  |  184
12:06:44  |  General  |  Info  |  Register value : 'Icon5' = 1048576  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_messagefactory.cpp  |  185
12:06:44  |  General  |  Info  |  Register value : 'Icon6' = 2097152  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_messagefactory.cpp  |  186
12:06:44  |  General  |  Info  |  Register value : 'Icon7' = 4194304  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_messagefactory.cpp  |  187
12:06:44  |  General  |  Info  |  Register value : 'Icon8' = 8388608  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_messagefactory.cpp  |  188
12:06:44  |  General  |  Info  |  * Register widget factory 'RenderBox'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_widgetmanager.cpp  |  102
12:06:44  |  General  |  Info  |  * Register widget factory 'MenuCtrl'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_widgetmanager.cpp  |  102
12:06:44  |  General  |  Info  |  * Register widget factory 'MenuItem'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_widgetmanager.cpp  |  102
12:06:44  |  General  |  Info  |  * Register widget factory 'PopupMenu'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_widgetmanager.cpp  |  102
12:06:44  |  General  |  Info  |  * Register widget factory 'MenuBar'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_widgetmanager.cpp  |  102
12:06:44  |  General  |  Info  |  * Register widget factory 'ScrollView'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_widgetmanager.cpp  |  102
12:06:44  |  General  |  Info  |  * Register widget factory 'DDContainer'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_widgetmanager.cpp  |  102
12:06:44  |  General  |  Info  |  * Register widget factory 'GridCtrl'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_widgetmanager.cpp  |  102
12:06:44  |  General  |  Info  |  WidgetManager successfully initialized  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_widgetmanager.cpp  |  77
12:06:44  |  General  |  Info  |  * Initialise: InputManager  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_inputmanager.cpp  |  34
12:06:44  |  General  |  Info  |  InputManager successfully initialized  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_inputmanager.cpp  |  59
12:06:44  |  General  |  Info  |  * Initialise: SubWidgetManager  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_subwidgetmanager.cpp  |  17
12:06:44  |  General  |  Info  |  SubWidgetManager successfully initialized  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_subwidgetmanager.cpp  |  33
12:06:44  |  General  |  Info  |  * Initialise: SkinManager  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_skinmanager.cpp  |  24
12:06:44  |  General  |  Info  |  SkinManager successfully initialized  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_skinmanager.cpp  |  30
12:06:44  |  General  |  Info  |  * Initialise: FontManager  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_fontmanager.cpp  |  28
12:06:44  |  General  |  Info  |  FontManager successfully initialized  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_fontmanager.cpp  |  32
12:06:44  |  General  |  Info  |  * Initialise: ControllerManager  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_controllermanager.cpp  |  20
12:06:44  |  General  |  Info  |  ControllerManager successfully initialized  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_controllermanager.cpp  |  24
12:06:44  |  General  |  Info  |  * Initialise: PointerManager  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_pointermanager.cpp  |  25
12:06:44  |  General  |  Info  |  PointerManager successfully initialized  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_pointermanager.cpp  |  34
